,impl,scenario,avg_time,avg_time,avg_time,stdev,throughput_MBps,throughput_MBps
,,,mean,min,max,mean,mean,max
0,C-slice1,full_file,0.048176500000000004,0.007074,0.148108,0.08515266666666665,530.4724432144277,759.4509667378394
1,C-slice1,large_chunk,0.040445499999999995,0.039727,0.041164,0.0731705,494.64869134035894,503.4359503612153
2,C-slice1,small_start,0.0068265999999999995,0.004742,0.008634,0.008007799999999999,152.39893502202503,210.88148460565165
3,C-slice2,full_file,0.008199166666666665,0.003978,0.018468,0.000409,2770.072101288563,5414.770876971422
4,C-slice2,large_chunk,0.0062935000000000005,0.006194,0.006393,8.25e-05,3178.676467505805,3228.9312237649337
5,C-slice2,small_start,0.0033680000000000003,0.003222,0.003502,0.0007358,297.17472121294253,310.36623215394167
6,C-slice3,full_file,0.006108,0.003536,0.011542,0.0007206666666666667,3884.6403258981177,8664.008712173645
7,C-slice3,large_chunk,0.004951499999999999,0.004885,0.005018,6.25e-05,4039.908733880446,4094.165813715456
8,C-slice3,small_start,0.0031961999999999997,0.00305,0.003283,0.0005771999999999999,313.1078492659417,327.86885245901635
9,Go,full_file,0.010297333333333334,0.004865,0.023471,0.0018955000000000003,2227.7615908540515,4260.5763945255085
10,Go,large_chunk,0.007203,0.007015,0.007391,0.00022899999999999998,2778.513637928968,2851.033499643621
11,Go,small_start,0.004665600000000001,0.00378,0.005311,0.0019416,217.12810102288822,264.55026455026456
12,Python,full_file,0.026666333333333334,0.021809,0.037892,0.0015721666666666668,982.5974353096248,2639.0791870555313
13,Python,large_chunk,0.024218,0.024206,0.02423,0.00020199999999999998,825.8322285238523,826.2414277451873
14,Python,small_start,0.0217528,0.020993,0.021985,0.0017738,45.98557698512191,47.634925927690176
15,Ruby,full_file,0.047654166666666664,0.03858,0.06712,0.008422166666666666,559.9992373022483,1489.868721035581
16,Ruby,large_chunk,0.0412025,0.041172,0.041233,0.0002195,485.4077048552639,485.767026134266
17,Ruby,small_start,0.0425332,0.039839,0.045468,0.0124718,23.555636921019158,25.101031652400913
18,Shell,full_file,33.53493683333333,1.135014,109.504153,0.8345338333333334,0.9185735296397576,0.9443706694843518
19,Shell,large_chunk,21.611013,21.227219,21.994807,0.315712,0.9257460427140414,0.9421865388961219
20,Shell,small_start,1.087215,1.049784,1.117681,0.0188932,0.9201773638771991,0.9525769110597989
